data,dia_semana
2022-08-08,Segunda-Feira
2022-08-09,Terça-Feira
2022-08-10,Quarta-Feira
2022-08-11,Quinta-Feira
2022-08-12,Sexta-Feira
2022-08-13,Sábado
2022-08-14,Domingo
2022-08-15,Segunda-Feira
2022-08-16,Terça-Feira
2022-08-17,Quarta-Feira
2022-08-18,Quinta-Feira
2022-08-19,Sexta-Feira
2022-08-20,Sábado
2022-08-21,Domingo
2022-08-22,Segunda-Feira
2022-08-23,Terça-Feira
2022-08-24,Quarta-Feira
2022-08-25,Quinta-Feira
2022-08-26,Sexta-Feira
2022-08-27,Sábado
2022-08-28,Domingo
2022-08-29,Segunda-Feira
2022-08-30,Terça-Feira
2022-08-31,Quarta-Feira
2022-09-01,Quinta-Feira
2022-09-02,Sexta-Feira
2022-09-03,Sábado
2022-09-04,Domingo
2022-09-05,Segunda-Feira
2022-09-06,Terça-Feira
2022-09-07,Quarta-Feira
2022-09-08,Quinta-Feira
2022-09-09,Sexta-Feira
2022-09-10,Sábado
2022-09-11,Domingo
2022-09-12,Segunda-Feira
2022-09-13,Terça-Feira
2022-09-14,Quarta-Feira
2022-09-15,Quinta-Feira
2022-09-16,Sexta-Feira
2022-09-17,Sábado
2022-09-18,Domingo
2022-09-19,Segunda-Feira
2022-09-20,Terça-Feira
2022-09-21,Quarta-Feira
2022-09-22,Quinta-Feira
2022-09-23,Sexta-Feira
2022-09-24,Sábado
2022-09-25,Domingo
2022-09-26,Segunda-Feira
2022-09-27,Terça-Feira
2022-09-28,Quarta-Feira
2022-09-29,Quinta-Feira
2022-09-30,Sexta-Feira
2022-10-01,Sábado
2022-10-02,Domingo
2022-10-03,Segunda-Feira
2022-10-04,Terça-Feira
2022-10-05,Quarta-Feira
2022-10-06,Quinta-Feira
2022-10-07,Sexta-Feira
2022-10-08,Sábado
2022-10-09,Domingo
2022-10-10,Segunda-Feira
2022-10-11,Terça-Feira
2022-10-12,Quarta-Feira
2022-10-13,Quinta-Feira
2022-10-14,Sexta-Feira
2022-10-15,Sábado
2022-10-16,Domingo
2022-10-17,Segunda-Feira
2022-10-18,Terça-Feira
2022-10-19,Quarta-Feira
2022-10-20,Quinta-Feira
2022-10-21,Sexta-Feira
2022-10-22,Sábado
2022-10-23,Domingo
2022-10-24,Segunda-Feira
2022-10-25,Terça-Feira
2022-10-26,Quarta-Feira
2022-10-27,Quinta-Feira
2022-10-28,Sexta-Feira
2022-10-29,Sábado
2022-10-30,Domingo
2022-10-31,Segunda-Feira
2022-11-01,Terça-Feira
2022-11-02,Quarta-Feira
2022-11-03,Quinta-Feira
2022-11-04,Sexta-Feira
2022-11-05,Sábado
2022-11-06,Domingo
2022-11-07,Segunda-Feira
2022-11-08,Terça-Feira
2022-11-09,Quarta-Feira
2022-11-10,Quinta-Feira
2022-11-11,Sexta-Feira
2022-11-12,Sábado
2022-11-13,Domingo
2022-11-14,Segunda-Feira
2022-11-15,Terça-Feira
2022-11-16,Quarta-Feira
2022-11-17,Quinta-Feira
2022-11-18,Sexta-Feira
2022-11-19,Sábado
2022-11-20,Domingo
2022-11-21,Segunda-Feira
2022-11-22,Terça-Feira
2022-11-23,Quarta-Feira
2022-11-24,Quinta-Feira
2022-11-25,Sexta-Feira
2022-11-26,Sábado
2022-11-27,Domingo
2022-11-28,Segunda-Feira
2022-11-29,Terça-Feira
2022-11-30,Quarta-Feira
2022-12-01,Quinta-Feira
2022-12-02,Sexta-Feira
2022-12-03,Sábado
2022-12-04,Domingo
2022-12-05,Segunda-Feira
2022-12-06,Terça-Feira
2022-12-07,Quarta-Feira
2022-12-08,Quinta-Feira
2022-12-09,Sexta-Feira
2022-12-10,Sábado
2022-12-11,Domingo
2022-12-12,Segunda-Feira
2022-12-13,Terça-Feira
2022-12-14,Quarta-Feira
2022-12-15,Quinta-Feira
2022-12-16,Sexta-Feira
2022-12-17,Sábado
2022-12-18,Domingo
2022-12-19,Segunda-Feira
2022-12-20,Terça-Feira
2022-12-21,Quarta-Feira
2022-12-22,Quinta-Feira
2022-12-23,Sexta-Feira
2022-12-24,Sábado
2022-12-25,Domingo
2022-12-26,Segunda-Feira
2022-12-27,Terça-Feira
2022-12-28,Quarta-Feira
2022-12-29,Quinta-Feira
2022-12-30,Sexta-Feira
2022-12-31,Sábado
2023-01-01,Domingo
2023-01-02,Segunda-Feira
2023-01-03,Terça-Feira
2023-01-04,Quarta-Feira
2023-01-05,Quinta-Feira
2023-01-06,Sexta-Feira
2023-01-07,Sábado
2023-01-08,Domingo
2023-01-09,Segunda-Feira
2023-01-10,Terça-Feira
2023-01-11,Quarta-Feira
2023-01-12,Quinta-Feira
2023-01-13,Sexta-Feira
2023-01-14,Sábado
2023-01-15,Domingo
2023-01-16,Segunda-Feira
2023-01-17,Terça-Feira
2023-01-18,Quarta-Feira
2023-01-19,Quinta-Feira
2023-01-20,Sexta-Feira
2023-01-21,Sábado
2023-01-22,Domingo
2023-01-23,Segunda-Feira
2023-01-24,Terça-Feira
2023-01-25,Quarta-Feira
2023-01-26,Quinta-Feira
2023-01-27,Sexta-Feira
2023-01-28,Sábado
2023-01-29,Domingo
2023-01-30,Segunda-Feira
2023-01-31,Terça-Feira
2023-02-01,Quarta-Feira
2023-02-02,Quinta-Feira
2023-02-03,Sexta-Feira
2023-02-04,Sábado
2023-02-05,Domingo
2023-02-06,Segunda-Feira
2023-02-07,Terça-Feira
2023-02-08,Quarta-Feira
2023-02-09,Quinta-Feira
2023-02-10,Sexta-Feira
2023-02-11,Sábado
2023-02-12,Domingo
2023-02-13,Segunda-Feira
2023-02-14,Terça-Feira
2023-02-15,Quarta-Feira
2023-02-16,Quinta-Feira
2023-02-17,Sexta-Feira
2023-02-18,Sábado
2023-02-19,Domingo
2023-02-20,Segunda-Feira
2023-02-21,Terça-Feira
2023-02-22,Quarta-Feira
2023-02-23,Quinta-Feira
2023-02-24,Sexta-Feira
2023-02-25,Sábado
2023-02-26,Domingo
2023-02-27,Segunda-Feira
2023-02-28,Terça-Feira
2023-03-01,Quarta-Feira
2023-03-02,Quinta-Feira
2023-03-03,Sexta-Feira
2023-03-04,Sábado
2023-03-05,Domingo
2023-03-06,Segunda-Feira
2023-03-07,Terça-Feira
2023-03-08,Quarta-Feira
2023-03-09,Quinta-Feira
2023-03-10,Sexta-Feira
2023-03-11,Sábado
2023-03-12,Domingo
2023-03-13,Segunda-Feira
2023-03-14,Terça-Feira
2023-03-15,Quarta-Feira
2023-03-16,Quinta-Feira
2023-03-17,Sexta-Feira
2023-03-18,Sábado
2023-03-19,Domingo
2023-03-20,Segunda-Feira
2023-03-21,Terça-Feira
2023-03-22,Quarta-Feira
2023-03-23,Quinta-Feira
2023-03-24,Sexta-Feira
2023-03-25,Sábado
2023-03-26,Domingo
2023-03-27,Segunda-Feira
2023-03-28,Terça-Feira
2023-03-29,Quarta-Feira
2023-03-30,Quinta-Feira
2023-03-31,Sexta-Feira
2023-04-01,Sábado
2023-04-02,Domingo
2023-04-03,Segunda-Feira
2023-04-04,Terça-Feira
2023-04-05,Quarta-Feira
2023-04-06,Quinta-Feira
2023-04-07,Sexta-Feira
2023-04-08,Sábado
2023-04-09,Domingo
2023-04-10,Segunda-Feira
2023-04-11,Terça-Feira
2023-04-12,Quarta-Feira
2023-04-13,Quinta-Feira
2023-04-14,Sexta-Feira
2023-04-15,Sábado
2023-04-16,Domingo
2023-04-17,Segunda-Feira
2023-04-18,Terça-Feira
2023-04-19,Quarta-Feira
2023-04-20,Quinta-Feira
2023-04-21,Sexta-Feira
2023-04-22,Sábado
2023-04-23,Domingo
2023-04-24,Segunda-Feira
2023-04-25,Terça-Feira
2023-04-26,Quarta-Feira
2023-04-27,Quinta-Feira
2023-04-28,Sexta-Feira
2023-04-29,Sábado
2023-04-30,Domingo
2023-05-01,Segunda-Feira
2023-05-02,Terça-Feira
2023-05-03,Quarta-Feira
2023-05-04,Quinta-Feira
2023-05-05,Sexta-Feira
2023-05-06,Sábado
2023-05-07,Domingo
2023-05-08,Segunda-Feira
2023-05-09,Terça-Feira
2023-05-10,Quarta-Feira
2023-05-11,Quinta-Feira
2023-05-12,Sexta-Feira
2023-05-13,Sábado
2023-05-14,Domingo
2023-05-15,Segunda-Feira
2023-05-16,Terça-Feira
2023-05-17,Quarta-Feira
2023-05-18,Quinta-Feira
2023-05-19,Sexta-Feira
2023-05-20,Sábado
2023-05-21,Domingo
2023-05-22,Segunda-Feira
2023-05-23,Terça-Feira
2023-05-24,Quarta-Feira
2023-05-25,Quinta-Feira
2023-05-26,Sexta-Feira
2023-05-27,Sábado
2023-05-28,Domingo
2023-05-29,Segunda-Feira
2023-05-30,Terça-Feira
2023-05-31,Quarta-Feira
2023-06-01,Quinta-Feira
2023-06-02,Sexta-Feira
2023-06-03,Sábado
2023-06-04,Domingo
2023-06-05,Segunda-Feira
2023-06-06,Terça-Feira
2023-06-07,Quarta-Feira
2023-06-08,Quinta-Feira
2023-06-09,Sexta-Feira
2023-06-10,Sábado
2023-06-11,Domingo
2023-06-12,Segunda-Feira
2023-06-13,Terça-Feira
2023-06-14,Quarta-Feira
2023-06-15,Quinta-Feira
2023-06-16,Sexta-Feira
2023-06-17,Sábado
2023-06-18,Domingo
2023-06-19,Segunda-Feira
2023-06-20,Terça-Feira
2023-06-21,Quarta-Feira
2023-06-22,Quinta-Feira
2023-06-23,Sexta-Feira
2023-06-24,Sábado
2023-06-25,Domingo
2023-06-26,Segunda-Feira
2023-06-27,Terça-Feira
2023-06-28,Quarta-Feira
2023-06-29,Quinta-Feira
2023-06-30,Sexta-Feira
2023-07-01,Sábado
2023-07-02,Domingo
2023-07-03,Segunda-Feira
2023-07-04,Terça-Feira
2023-07-05,Quarta-Feira
2023-07-06,Quinta-Feira
2023-07-07,Sexta-Feira
2023-07-08,Sábado
2023-07-09,Domingo
2023-07-10,Segunda-Feira
2023-07-11,Terça-Feira
2023-07-12,Quarta-Feira
2023-07-13,Quinta-Feira
2023-07-14,Sexta-Feira
2023-07-15,Sábado
2023-07-16,Domingo
2023-07-17,Segunda-Feira
2023-07-18,Terça-Feira
2023-07-19,Quarta-Feira
2023-07-20,Quinta-Feira
2023-07-21,Sexta-Feira
2023-07-22,Sábado
2023-07-23,Domingo
2023-07-24,Segunda-Feira
2023-07-25,Terça-Feira
2023-07-26,Quarta-Feira
2023-07-27,Quinta-Feira
2023-07-28,Sexta-Feira
2023-07-29,Sábado
2023-07-30,Domingo
2023-07-31,Segunda-Feira
2023-08-01,Terça-Feira
2023-08-02,Quarta-Feira
2023-08-03,Quinta-Feira
2023-08-04,Sexta-Feira
2023-08-05,Sábado
2023-08-06,Domingo
2023-08-07,Segunda-Feira
2023-08-08,Terça-Feira
2023-08-09,Quarta-Feira
2023-08-10,Quinta-Feira
2023-08-11,Sexta-Feira
2023-08-12,Sábado
2023-08-13,Domingo
2023-08-14,Segunda-Feira
2023-08-15,Terça-Feira
2023-08-16,Quarta-Feira
2023-08-17,Quinta-Feira
2023-08-18,Sexta-Feira
2023-08-19,Sábado
2023-08-20,Domingo
2023-08-21,Segunda-Feira
2023-08-22,Terça-Feira
2023-08-23,Quarta-Feira
2023-08-24,Quinta-Feira
2023-08-25,Sexta-Feira
2023-08-26,Sábado
2023-08-27,Domingo
2023-08-28,Segunda-Feira
2023-08-29,Terça-Feira
2023-08-30,Quarta-Feira
2023-08-31,Quinta-Feira
2023-09-01,Sexta-Feira
2023-09-02,Sábado
2023-09-03,Domingo
2023-09-04,Segunda-Feira
2023-09-05,Terça-Feira
2023-09-06,Quarta-Feira
2023-09-07,Quinta-Feira
2023-09-08,Sexta-Feira
2023-09-09,Sábado
2023-09-10,Domingo
2023-09-11,Segunda-Feira
2023-09-12,Terça-Feira
2023-09-13,Quarta-Feira
2023-09-14,Quinta-Feira
2023-09-15,Sexta-Feira
2023-09-16,Sábado
2023-09-17,Domingo
2023-09-18,Segunda-Feira
2023-09-19,Terça-Feira
2023-09-20,Quarta-Feira
2023-09-21,Quinta-Feira
2023-09-22,Sexta-Feira
2023-09-23,Sábado
2023-09-24,Domingo
2023-09-25,Segunda-Feira
2023-09-26,Terça-Feira
2023-09-27,Quarta-Feira
2023-09-28,Quinta-Feira
2023-09-29,Sexta-Feira
2023-09-30,Sábado
2023-10-01,Domingo
2023-10-02,Segunda-Feira
2023-10-03,Terça-Feira
2023-10-04,Quarta-Feira
2023-10-05,Quinta-Feira
2023-10-06,Sexta-Feira
2023-10-07,Sábado
2023-10-08,Domingo
2023-10-09,Segunda-Feira
2023-10-10,Terça-Feira
2023-10-11,Quarta-Feira
2023-10-12,Quinta-Feira
2023-10-13,Sexta-Feira
2023-10-14,Sábado
2023-10-15,Domingo
2023-10-16,Segunda-Feira
2023-10-17,Terça-Feira
2023-10-18,Quarta-Feira
2023-10-19,Quinta-Feira
2023-10-20,Sexta-Feira
2023-10-21,Sábado
2023-10-22,Domingo
2023-10-23,Segunda-Feira
2023-10-24,Terça-Feira
2023-10-25,Quarta-Feira
2023-10-26,Quinta-Feira
2023-10-27,Sexta-Feira
2023-10-28,Sábado
2023-10-29,Domingo
2023-10-30,Segunda-Feira
2023-10-31,Terça-Feira
2023-11-01,Quarta-Feira
2023-11-02,Quinta-Feira
2023-11-03,Sexta-Feira
2023-11-04,Sábado
2023-11-05,Domingo
2023-11-06,Segunda-Feira
2023-11-07,Terça-Feira
2023-11-08,Quarta-Feira
2023-11-09,Quinta-Feira
2023-11-10,Sexta-Feira
2023-11-11,Sábado
2023-11-12,Domingo
2023-11-13,Segunda-Feira
2023-11-14,Terça-Feira
2023-11-15,Quarta-Feira
2023-11-16,Quinta-Feira
2023-11-17,Sexta-Feira
2023-11-18,Sábado
2023-11-19,Domingo
2023-11-20,Segunda-Feira
2023-11-21,Terça-Feira
2023-11-22,Quarta-Feira
2023-11-23,Quinta-Feira
2023-11-24,Sexta-Feira
2023-11-25,Sábado
2023-11-26,Domingo
2023-11-27,Segunda-Feira
2023-11-28,Terça-Feira
2023-11-29,Quarta-Feira
2023-11-30,Quinta-Feira
2023-12-01,Sexta-Feira
2023-12-02,Sábado
2023-12-03,Domingo
2023-12-04,Segunda-Feira
2023-12-05,Terça-Feira
2023-12-06,Quarta-Feira
2023-12-07,Quinta-Feira
2023-12-08,Sexta-Feira
2023-12-09,Sábado
2023-12-10,Domingo
2023-12-11,Segunda-Feira
2023-12-12,Terça-Feira
2023-12-13,Quarta-Feira
2023-12-14,Quinta-Feira
2023-12-15,Sexta-Feira
2023-12-16,Sábado
2023-12-17,Domingo
2023-12-18,Segunda-Feira
2023-12-19,Terça-Feira
2023-12-20,Quarta-Feira
2023-12-21,Quinta-Feira
2023-12-22,Sexta-Feira
2023-12-23,Sábado
2023-12-24,Domingo
2023-12-25,Segunda-Feira
2023-12-26,Terça-Feira
2023-12-27,Quarta-Feira
2023-12-28,Quinta-Feira
2023-12-29,Sexta-Feira
2023-12-30,Sábado
2023-12-31,Domingo
2024-01-01,Segunda-Feira
2024-01-02,Terça-Feira
2024-01-03,Quarta-Feira
2024-01-04,Quinta-Feira
2024-01-05,Sexta-Feira
2024-01-06,Sábado
2024-01-07,Domingo
2024-01-08,Segunda-Feira
2024-01-09,Terça-Feira
2024-01-10,Quarta-Feira
2024-01-11,Quinta-Feira
2024-01-12,Sexta-Feira
2024-01-13,Sábado
2024-01-14,Domingo
2024-01-15,Segunda-Feira
2024-01-16,Terça-Feira
2024-01-17,Quarta-Feira
2024-01-18,Quinta-Feira
2024-01-19,Sexta-Feira
2024-01-20,Sábado
2024-01-21,Domingo
2024-01-22,Segunda-Feira
2024-01-23,Terça-Feira
2024-01-24,Quarta-Feira
2024-01-25,Quinta-Feira
2024-01-26,Sexta-Feira
2024-01-27,Sábado
2024-01-28,Domingo
2024-01-29,Segunda-Feira
2024-01-30,Terça-Feira
2024-01-31,Quarta-Feira
2024-02-01,Quinta-Feira
2024-02-02,Sexta-Feira
2024-02-03,Sábado
2024-02-04,Domingo
2024-02-05,Segunda-Feira
2024-02-06,Terça-Feira
2024-02-07,Quarta-Feira
2024-02-08,Quinta-Feira
2024-02-09,Sexta-Feira
2024-02-10,Sábado
2024-02-11,Domingo
2024-02-12,Segunda-Feira
2024-02-13,Terça-Feira
2024-02-14,Quarta-Feira
2024-02-15,Quinta-Feira
2024-02-16,Sexta-Feira
2024-02-17,Sábado
2024-02-18,Domingo
2024-02-19,Segunda-Feira
2024-02-20,Terça-Feira
2024-02-21,Quarta-Feira
2024-02-22,Quinta-Feira
2024-02-23,Sexta-Feira
2024-02-24,Sábado
2024-02-25,Domingo
2024-02-26,Segunda-Feira
2024-02-27,Terça-Feira
2024-02-28,Quarta-Feira
2024-02-29,Quinta-Feira
2024-03-01,Sexta-Feira
2024-03-02,Sábado
2024-03-03,Domingo
2024-03-04,Segunda-Feira
2024-03-05,Terça-Feira
2024-03-06,Quarta-Feira
2024-03-07,Quinta-Feira
2024-03-08,Sexta-Feira
2024-03-09,Sábado
2024-03-10,Domingo
2024-03-11,Segunda-Feira
2024-03-12,Terça-Feira
2024-03-13,Quarta-Feira
2024-03-14,Quinta-Feira
2024-03-15,Sexta-Feira
2024-03-16,Sábado
2024-03-17,Domingo
2024-03-18,Segunda-Feira
2024-03-19,Terça-Feira
2024-03-20,Quarta-Feira
2024-03-21,Quinta-Feira
2024-03-22,Sexta-Feira
2024-03-23,Sábado
2024-03-24,Domingo
2024-03-25,Segunda-Feira
2024-03-26,Terça-Feira
2024-03-27,Quarta-Feira
2024-03-28,Quinta-Feira
2024-03-29,Sexta-Feira
2024-03-30,Sábado
2024-03-31,Domingo
2024-04-01,Segunda-Feira
2024-04-02,Terça-Feira
2024-04-03,Quarta-Feira
2024-04-04,Quinta-Feira
2024-04-05,Sexta-Feira
2024-04-06,Sábado
2024-04-07,Domingo
2024-04-08,Segunda-Feira
2024-04-09,Terça-Feira
2024-04-10,Quarta-Feira
2024-04-11,Quinta-Feira
2024-04-12,Sexta-Feira
2024-04-13,Sábado
2024-04-14,Domingo
2024-04-15,Segunda-Feira
2024-04-16,Terça-Feira
2024-04-17,Quarta-Feira
2024-04-18,Quinta-Feira
2024-04-19,Sexta-Feira
2024-04-20,Sábado
2024-04-21,Domingo
2024-04-22,Segunda-Feira
2024-04-23,Terça-Feira
2024-04-24,Quarta-Feira
2024-04-25,Quinta-Feira
2024-04-26,Sexta-Feira
2024-04-27,Sábado
2024-04-28,Domingo
2024-04-29,Segunda-Feira
2024-04-30,Terça-Feira
2024-05-01,Quarta-Feira
2024-05-02,Quinta-Feira
2024-05-03,Sexta-Feira
2024-05-04,Sábado
2024-05-05,Domingo
2024-05-06,Segunda-Feira
2024-05-07,Terça-Feira
2024-05-08,Quarta-Feira
2024-05-09,Quinta-Feira
2024-05-10,Sexta-Feira
2024-05-11,Sábado
2024-05-12,Domingo
2024-05-13,Segunda-Feira
2024-05-14,Terça-Feira
2024-05-15,Quarta-Feira
2024-05-16,Quinta-Feira
2024-05-17,Sexta-Feira
2024-05-18,Sábado
2024-05-19,Domingo
2024-05-20,Segunda-Feira
2024-05-21,Terça-Feira
2024-05-22,Quarta-Feira
2024-05-23,Quinta-Feira
2024-05-24,Sexta-Feira
2024-05-25,Sábado
2024-05-26,Domingo
2024-05-27,Segunda-Feira
2024-05-28,Terça-Feira
2024-05-29,Quarta-Feira
2024-05-30,Quinta-Feira
2024-05-31,Sexta-Feira
2024-06-01,Sábado
2024-06-02,Domingo
2024-06-03,Segunda-Feira
2024-06-04,Terça-Feira
2024-06-05,Quarta-Feira
2024-06-06,Quinta-Feira
2024-06-07,Sexta-Feira
2024-06-08,Sábado
2024-06-09,Domingo
2024-06-10,Segunda-Feira
2024-06-11,Terça-Feira
2024-06-12,Quarta-Feira
2024-06-13,Quinta-Feira
2024-06-14,Sexta-Feira
2024-06-15,Sábado
2024-06-16,Domingo
2024-06-17,Segunda-Feira
2024-06-18,Terça-Feira
2024-06-19,Quarta-Feira
2024-06-20,Quinta-Feira
2024-06-21,Sexta-Feira
2024-06-22,Sábado
2024-06-23,Domingo
2024-06-24,Segunda-Feira
2024-06-25,Terça-Feira
2024-06-26,Quarta-Feira
2024-06-27,Quinta-Feira
2024-06-28,Sexta-Feira
2024-06-29,Sábado
2024-06-30,Domingo
2024-07-01,Segunda-Feira
2024-07-02,Terça-Feira
2024-07-03,Quarta-Feira
2024-07-04,Quinta-Feira
2024-07-05,Sexta-Feira
2024-07-06,Sábado
2024-07-07,Domingo
2024-07-08,Segunda-Feira
2024-07-09,Terça-Feira
2024-07-10,Quarta-Feira
2024-07-11,Quinta-Feira
2024-07-12,Sexta-Feira
2024-07-13,Sábado
2024-07-14,Domingo
2024-07-15,Segunda-Feira
2024-07-16,Terça-Feira
2024-07-17,Quarta-Feira
2024-07-18,Quinta-Feira
2024-07-19,Sexta-Feira
2024-07-20,Sábado
2024-07-21,Domingo
2024-07-22,Segunda-Feira
2024-07-23,Terça-Feira
2024-07-24,Quarta-Feira
2024-07-25,Quinta-Feira
2024-07-26,Sexta-Feira
2024-07-27,Sábado
2024-07-28,Domingo
2024-07-29,Segunda-Feira
2024-07-30,Terça-Feira
2024-07-31,Quarta-Feira
2024-08-01,Quinta-Feira
2024-08-02,Sexta-Feira
2024-08-03,Sábado
2024-08-04,Domingo
2024-08-05,Segunda-Feira
2024-08-06,Terça-Feira
2024-08-07,Quarta-Feira
2024-08-08,Quinta-Feira
2024-08-09,Sexta-Feira
2024-08-10,Sábado
2024-08-11,Domingo
2024-08-12,Segunda-Feira
2024-08-13,Terça-Feira
2024-08-14,Quarta-Feira
2024-08-15,Quinta-Feira
2024-08-16,Sexta-Feira
2024-08-17,Sábado
2024-08-18,Domingo
2024-08-19,Segunda-Feira
2024-08-20,Terça-Feira
2024-08-21,Quarta-Feira
2024-08-22,Quinta-Feira
2024-08-23,Sexta-Feira
2024-08-24,Sábado
2024-08-25,Domingo
2024-08-26,Segunda-Feira
2024-08-27,Terça-Feira
2024-08-28,Quarta-Feira
2024-08-29,Quinta-Feira
2024-08-30,Sexta-Feira
2024-08-31,Sábado
2024-09-01,Domingo
2024-09-02,Segunda-Feira
2024-09-03,Terça-Feira
2024-09-04,Quarta-Feira
2024-09-05,Quinta-Feira
2024-09-06,Sexta-Feira
2024-09-07,Sábado
2024-09-08,Domingo
2024-09-09,Segunda-Feira
2024-09-10,Terça-Feira
2024-09-11,Quarta-Feira
2024-09-12,Quinta-Feira
2024-09-13,Sexta-Feira
2024-09-14,Sábado
2024-09-15,Domingo
2024-09-16,Segunda-Feira
2024-09-17,Terça-Feira
2024-09-18,Quarta-Feira
2024-09-19,Quinta-Feira
2024-09-20,Sexta-Feira
2024-09-21,Sábado
2024-09-22,Domingo
2024-09-23,Segunda-Feira
2024-09-24,Terça-Feira
2024-09-25,Quarta-Feira
2024-09-26,Quinta-Feira
2024-09-27,Sexta-Feira
2024-09-28,Sábado
2024-09-29,Domingo
2024-09-30,Segunda-Feira
2024-10-01,Terça-Feira
2024-10-02,Quarta-Feira
2024-10-03,Quinta-Feira
2024-10-04,Sexta-Feira
2024-10-05,Sábado
2024-10-06,Domingo
2024-10-07,Segunda-Feira
2024-10-08,Terça-Feira
2024-10-09,Quarta-Feira
2024-10-10,Quinta-Feira
2024-10-11,Sexta-Feira
2024-10-12,Sábado
2024-10-13,Domingo
2024-10-14,Segunda-Feira
2024-10-15,Terça-Feira
2024-10-16,Quarta-Feira
2024-10-17,Quinta-Feira
2024-10-18,Sexta-Feira
2024-10-19,Sábado
2024-10-20,Domingo
2024-10-21,Segunda-Feira
2024-10-22,Terça-Feira
2024-10-23,Quarta-Feira
2024-10-24,Quinta-Feira
2024-10-25,Sexta-Feira
2024-10-26,Sábado
2024-10-27,Domingo
2024-10-28,Segunda-Feira
2024-10-29,Terça-Feira
2024-10-30,Quarta-Feira
2024-10-31,Quinta-Feira
2024-11-01,Sexta-Feira
2024-11-02,Sábado
2024-11-03,Domingo
2024-11-04,Segunda-Feira
2024-11-05,Terça-Feira
2024-11-06,Quarta-Feira
2024-11-07,Quinta-Feira
2024-11-08,Sexta-Feira
2024-11-09,Sábado
2024-11-10,Domingo
2024-11-11,Segunda-Feira
2024-11-12,Terça-Feira
2024-11-13,Quarta-Feira
2024-11-14,Quinta-Feira
2024-11-15,Sexta-Feira
2024-11-16,Sábado
2024-11-17,Domingo
2024-11-18,Segunda-Feira
2024-11-19,Terça-Feira
2024-11-20,Quarta-Feira
2024-11-21,Quinta-Feira
2024-11-22,Sexta-Feira
2024-11-23,Sábado
2024-11-24,Domingo
2024-11-25,Segunda-Feira
2024-11-26,Terça-Feira
2024-11-27,Quarta-Feira
2024-11-28,Quinta-Feira
2024-11-29,Sexta-Feira
2024-11-30,Sábado
2024-12-01,Domingo
2024-12-02,Segunda-Feira
2024-12-03,Terça-Feira
2024-12-04,Quarta-Feira
2024-12-05,Quinta-Feira
2024-12-06,Sexta-Feira
2024-12-07,Sábado
2024-12-08,Domingo
2024-12-09,Segunda-Feira
2024-12-10,Terça-Feira
2024-12-11,Quarta-Feira
2024-12-12,Quinta-Feira
2024-12-13,Sexta-Feira
2024-12-14,Sábado
2024-12-15,Domingo
2024-12-16,Segunda-Feira
2024-12-17,Terça-Feira
2024-12-18,Quarta-Feira
2024-12-19,Quinta-Feira
2024-12-20,Sexta-Feira
2024-12-21,Sábado
2024-12-22,Domingo
2024-12-23,Segunda-Feira
2024-12-24,Terça-Feira
2024-12-25,Quarta-Feira
2024-12-26,Quinta-Feira
2024-12-27,Sexta-Feira
2024-12-28,Sábado
2024-12-29,Domingo
2024-12-30,Segunda-Feira
2024-12-31,Terça-Feira
2025-01-01,Quarta-Feira
2025-01-02,Quinta-Feira
2025-01-03,Sexta-Feira
2025-01-04,Sábado
2025-01-05,Domingo
2025-01-06,Segunda-Feira
2025-01-07,Terça-Feira
2025-01-08,Quarta-Feira
2025-01-09,Quinta-Feira
2025-01-10,Sexta-Feira
2025-01-11,Sábado
2025-01-12,Domingo
2025-01-13,Segunda-Feira
2025-01-14,Terça-Feira
2025-01-15,Quarta-Feira
2025-01-16,Quinta-Feira
2025-01-17,Sexta-Feira
2025-01-18,Sábado
2025-01-19,Domingo
2025-01-20,Segunda-Feira
2025-01-21,Terça-Feira
2025-01-22,Quarta-Feira
2025-01-23,Quinta-Feira
2025-01-24,Sexta-Feira
2025-01-25,Sábado
2025-01-26,Domingo
2025-01-27,Segunda-Feira
2025-01-28,Terça-Feira
2025-01-29,Quarta-Feira
2025-01-30,Quinta-Feira
2025-01-31,Sexta-Feira
2025-02-01,Sábado
2025-02-02,Domingo
2025-02-03,Segunda-Feira
2025-02-04,Terça-Feira
2025-02-05,Quarta-Feira
2025-02-06,Quinta-Feira
2025-02-07,Sexta-Feira
2025-02-08,Sábado
2025-02-09,Domingo
2025-02-10,Segunda-Feira
2025-02-11,Terça-Feira
2025-02-12,Quarta-Feira
2025-02-13,Quinta-Feira
2025-02-14,Sexta-Feira
2025-02-15,Sábado
2025-02-16,Domingo
2025-02-17,Segunda-Feira
2025-02-18,Terça-Feira
2025-02-19,Quarta-Feira
2025-02-20,Quinta-Feira
2025-02-21,Sexta-Feira
2025-02-22,Sábado
2025-02-23,Domingo
2025-02-24,Segunda-Feira
2025-02-25,Terça-Feira
2025-02-26,Quarta-Feira
2025-02-27,Quinta-Feira
2025-02-28,Sexta-Feira
2025-03-01,Sábado
2025-03-02,Domingo
2025-03-03,Segunda-Feira
2025-03-04,Terça-Feira
2025-03-05,Quarta-Feira
2025-03-06,Quinta-Feira
2025-03-07,Sexta-Feira
2025-03-08,Sábado
2025-03-09,Domingo
2025-03-10,Segunda-Feira
2025-03-11,Terça-Feira
2025-03-12,Quarta-Feira
2025-03-13,Quinta-Feira
2025-03-14,Sexta-Feira
